요일,시간대,사고건수,사망자수,중상자수,경상자수,부상신고자수
일,00시-02시,1208,21,331,1441,119
일,02시-04시,664,24,211,674,64
일,04시-06시,541,21,165,542,58
일,06시-08시,623,18,183,658,43
일,08시-10시,1132,26,339,1297,108
일,10시-12시,2043,19,636,2496,203
일,12시-14시,2762,30,778,3539,325
일,14시-16시,2941,27,780,3972,319
일,16시-18시,2741,31,707,3430,308
일,18시-20시,2900,37,774,3286,303
일,20시-22시,2309,37,634,2707,244
일,22시-24시,1425,25,389,1580,134
월,00시-02시,655,18,204,665,65
월,02시-04시,369,16,118,338,43
월,04시-06시,621,25,229,563,50
월,06시-08시,1816,43,491,1817,139
월,08시-10시,3400,36,839,3631,291
월,10시-12시,2917,47,827,3109,226
월,12시-14시,3049,22,822,3230,256
월,14시-16시,3318,33,867,3641,272
월,16시-18시,3729,40,898,4006,346
월,18시-20시,3846,41,917,4007,314
월,20시-22시,2543,40,665,2736,206
월,22시-24시,1680,26,426,1770,168
화,00시-02시,773,26,238,832,70
화,02시-04시,421,15,133,431,34
화,04시-06시,578,31,208,499,40
화,06시-08시,1767,48,510,1747,144
화,08시-10시,3516,32,811,3698,262
화,10시-12시,2986,32,833,3123,278
화,12시-14시,3086,38,831,3157,253
화,14시-16시,3350,44,913,3469,323
화,16시-18시,3980,51,953,4253,344
화,18시-20시,4002,44,987,4155,346
화,20시-22시,2608,31,692,2658,252
화,22시-24시,1737,27,454,1839,161
수,00시-02시,894,25,252,921,76
수,02시-04시,411,19,123,384,46
수,04시-06시,630,30,242,516,66
수,06시-08시,1790,38,516,1818,139
수,08시-10시,3468,36,872,3519,283
수,10시-12시,2764,50,757,2824,244
수,12시-14시,2980,35,813,3092,272
수,14시-16시,3278,32,800,3417,319
수,16시-18시,3950,29,953,4170,352
수,18시-20시,4223,40,1024,4367,411
수,20시-22시,2704,29,657,2832,223
수,22시-24시,1769,28,462,1902,160
목,00시-02시,909,26,280,970,81
목,02시-04시,454,19,140,436,45
목,04시-06시,620,31,222,588,58
목,06시-08시,1825,25,530,1763,150
목,08시-10시,3443,35,833,3642,257
목,10시-12시,2924,35,777,2912,248
목,12시-14시,3041,42,791,3105,262
목,14시-16시,3349,51,880,3551,277
목,16시-18시,3960,43,943,4071,367
목,18시-20시,4149,38,987,4283,333
목,20시-22시,2691,28,701,2759,215
목,22시-24시,1903,29,523,2055,159
금,00시-02시,994,25,293,1046,68
금,02시-04시,460,18,128,492,53
금,04시-06시,645,32,247,608,58
금,06시-08시,1692,29,486,1592,110
금,08시-10시,3479,34,916,3546,259
금,10시-12시,3110,41,857,3085,290
금,12시-14시,3295,53,872,3466,265
금,14시-16시,3525,42,927,3801,303
금,16시-18시,4491,33,1062,4883,411
금,18시-20시,4821,39,1095,5198,428
금,20시-22시,3114,41,796,3342,293
금,22시-24시,2319,35,628,2510,180
토,00시-02시,1351,19,363,1588,111
토,02시-04시,790,24,205,858,75
토,04시-06시,723,26,246,745,57
토,06시-08시,1144,30,350,1104,121
토,08시-10시,2052,28,609,2370,202
토,10시-12시,3263,30,836,4003,310
토,12시-14시,3834,37,996,4684,415
토,14시-16시,3473,30,851,4475,374
토,16시-18시,3686,46,867,4549,373
토,18시-20시,3492,34,922,3905,334
토,20시-22시,2864,43,780,3336,235
토,22시-24시,2054,51,512,2351,179
